FILE DI LOG LOCALE

Autore: Rocchio Pietro
Classe: 3Ci
Scuola: ITT Marconi Rovereto (TN)
Anno  : 2017/2018

Sintassicdei log:
GG/MM/AAAA    Ora    Utente 	Sintesi-Modifica

06/12/2017    13:06  root       Scrittura struttura sito.
06/12/2017    23:42  root       Inizio progettazione struttura sito.
06/12/2017    23:47  root       Inizializzata la documentazione di sviluppo.
07/12/2017    15:02  root       Aggiunti esempi per sviluppo sito [copyright].
09/12/2017    11:27  root       Terminata fase iniziale di sviluppo. inizio scrittura codice.
09/12/2017    14:45  root       Scrittura menu HTML e CSS. Introduzione di Jquery per interazione del menu.
09/12/2017    19:50  root       Terminata sezione header [da fixare].
09/12/2017    20:00  root       Aggiunto collegamnto per pagina in sviluppo.
10/12/2017    22:24  root       Fixato menu a discesa per dispositivi mobili.[Aggiungere animazione].
11/12/2017    00:13  root       Aggiunta animazione al menu per dispositivi mobili.
13/12/2017    00:07  root       Inizio creazione cover del sito [ordianto il codice CSS].
13/12/2017    00:56  root       Sviluppo cover. [problemi con la responsive].
14/12/2017    10:25  root       Inizializzata la struttura per la Cover e la Caption. [Rinominata cover --> materia]
14/12/2017    18:44  root       Creato modulo HTML e CSS per l'elenco delle materie.
14/12/2017    19:00  root       Creato wireframe sito in Photoshop.
16/12/2017    15:45  root       Terminata creazione moduli materie. Inizio sviluppo footer.
18/12/2017    18:47  root       Modificati i moduli delle materie sia per desktop, sia per mobile.
25/12/2017    02:43  root       Aggiunta pagina lista materie con relativi collegamenti e cartelle.
10/01/2018    09:35  root       Add JS.
17/01/2018    08:43  root       Start modifica banner.
17/01/2018    09:36  root       Fix banner for mobile.
21/01/2018    18:31  root       Edit banner.
24/01/2018    08:48  root       Fix CSS banner.
24/01/2018    09:33  root       End fix banner in CSS and HTML.
28/01/2018    23:01  root       Added fonts and refixed banner.
30/01/2018    09:57  root       Modifica generale sito.
30/01/2018    19:17  root       Up log.
30/01/2018    19:35  root       Fixato index lista materie.
31/01/2018    22:06  root       Aggiunte le CSS grids
04/02/2018    00:08  root       Agginta tavola periodica con CSS Grids e nuovi font.
04/02/2018    21:44  root       Finita tavola periodica con CSS Grids, importato novo font.
06/02/2018    19:46  root       SITO TERMINATO[?].
06/02/2018    20:02  root       FINE [ + || - ].
--------------------------------------------------------------------------------------------
13/02/2018    23:05  root       File JS spostati in repository esterno & aggiunto link a codesto repository. [inizio implementazione JS]
14/02/2018    09:35  root       Messa a punto di JS.
********************************************************************************************
27/02/2018    23:35  root       Fix codice JS, HTML e CSS. FINE SITO!
//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\//\\
24/02/2018    11:50  root       FINE SITO!
